report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2022-04-19,11276,1194,6226,1242,6214,570,50,377,1124,122,1155,786
2022-04-12,10632,1374,6654,660,6110,807,25,406,1127,125,1058,786
2022-04-05,11374,1507,6702,448,6674,635,0,345,1393,31,1322,681
2022-03-29,12024,1788,7133,294,6812,614,15,354,1193,100,1302,620
2022-03-22,11274,1159,6807,848,6289,816,6,300,356,9,1263,782
2022-03-15,10198,982,6512,770,5957,902,0,281,328,54,1029,766
2022-03-08,9591,906,6174,495,5893,925,2,299,355,63,950,793
2022-03-01,9980,1036,6299,393,5862,843,2,306,294,67,1198,761
2022-02-22,11007,1365,7243,391,6025,821,2,335,317,0,1338,799
2022-02-15,10646,1103,6396,514,6118,718,22,355,353,70,1364,936
2022-02-08,9886,1045,6361,182,5856,655,45,362,280,58,1474,966
2022-02-01,9948,1248,6716,188,5536,703,98,384,228,0,1232,882
2022-01-25,11756,1565,7612,850,5525,1004,82,300,288,40,1469,957
2022-01-18,11468,1496,7339,1182,5417,1043,3,414,244,58,1407,836
2022-01-11,10855,1464,7159,932,5419,968,3,404,264,37,1441,882
2022-01-04,10563,1451,6807,666,5541,900,2,463,401,38,1498,801
2021-12-28,12468,2453,8104,1101,5554,859,2,459,540,251,1606,840
2021-12-21,12852,1893,7571,1462,5630,751,45,431,573,44,1755,916
2021-12-14,13518,2198,7824,1328,5759,778,47,443,870,75,1565,1050
2021-12-07,13242,1997,8095,870,5826,718,36,479,1082,87,1668,877
2021-11-30,13197,2374,7811,628,5726,702,29,587,1336,75,1811,817
2021-11-23,14357,2414,7063,869,5395,750,56,617,1334,107,2094,2663
2021-11-16,13648,2236,8182,1210,5139,779,9,629,1176,146,2008,887
2021-11-09,13821,2620,8676,1104,4980,750,28,586,1422,196,2071,827
2021-11-02,13512,2957,8642,856,4807,691,34,554,1429,203,1943,752
2021-10-26,16671,3185,9423,2403,1794,514,230,530,1485,141,4810,981
2021-10-19,13605,2072,8317,1443,839,354,9,490,1264,133,3868,1268
2021-10-12,10918,2148,6863,1293,696,320,9,485,1010,153,1751,880
2021-10-05,8886,1710,5994,865,487,399,9,503,533,78,1758,794
2021-09-28,7039,1338,4956,431,559,413,9,479,144,97,1480,775
2021-09-21,7348,1971,4939,633,519,471,25,360,145,79,1845,846
2021-09-14,6620,1780,4496,218,502,451,65,357,195,51,1811,710
2021-09-07,6659,1684,4990,182,621,378,9,302,161,44,1850,641
2021-08-31,6362,1810,4797,151,702,370,9,326,139,58,1720,591
2021-08-24,7515,2016,5302,591,695,311,9,252,110,32,1923,780
2021-08-17,7363,2292,5542,199,672,311,9,288,52,92,1863,816
2021-08-10,6769,1995,5113,188,629,275,0,281,51,69,1774,758
2021-08-03,6408,1969,4782,206,643,234,0,232,74,140,1605,761
2021-07-27,7802,2800,4841,1197,494,165,13,195,105,104,1692,748
2021-07-20,8283,3738,5724,429,560,602,0,341,120,48,1564,868
2021-07-13,7129,2696,4923,353,546,496,0,295,102,74,1542,816
2021-07-06,6889,2412,4603,403,504,497,0,280,117,82,1603,782
2021-06-29,6788,2291,4357,416,542,613,0,248,120,49,1615,815
2021-06-22,7914,2563,4927,474,419,739,0,255,145,81,1913,888
2021-06-15,7528,2603,5090,489,517,629,5,227,153,50,1851,731
2021-06-08,7566,2507,4964,352,382,739,41,235,181,40,1903,825
2021-06-01,7318,2081,4949,369,407,619,31,228,145,80,1900,778
2021-05-25,8893,2261,5748,535,404,651,60,381,132,65,2071,814
2021-05-18,9160,3302,6123,419,356,1085,0,572,96,69,1819,845
2021-05-11,8259,2327,5409,382,377,910,112,516,113,131,2152,821
2021-05-04,8306,2544,5507,328,370,994,20,500,93,151,2286,868
2021-04-27,8429,1991,5464,325,369,869,20,489,41,305,2685,1031
2021-04-20,8817,2616,6709,328,372,554,0,516,87,70,2652,711
2021-04-13,9653,2979,7634,363,366,340,136,556,311,0,2820,695
2021-04-06,9865,2481,7477,535,355,519,115,501,264,31,2742,750
2021-03-30,9322,2335,7144,420,354,534,105,493,243,27,2596,676
2021-03-23,9897,2606,7198,623,358,463,120,502,132,181,2828,794
2021-03-16,9335,2099,6756,842,357,516,55,468,203,63,3055,717
2021-03-09,8785,2055,6148,664,331,619,15,395,164,41,2635,872
2021-03-02,8068,1757,5563,572,323,643,0,376,137,42,2465,829
2021-02-23,10572,2633,7639,608,314,551,0,332,464,62,2892,908
2021-02-16,11426,3301,8750,660,338,339,9,368,564,61,3508,760
2021-02-09,11055,3149,8481,665,348,265,26,387,564,89,3423,755
2021-02-02,9469,3031,7224,456,308,357,20,422,446,97,3070,651
2021-01-26,10787,3605,7991,453,308,225,13,428,605,42,3176,756
2021-01-19,11945,3911,9119,275,639,123,10,413,709,0,3529,746
2021-01-12,12039,4107,9602,212,733,0,5,324,754,0,3676,633
2021-01-05,11296,3544,9058,129,793,32,3,436,663,0,3343,774
2020-12-29,10653,3679,8466,60,620,32,8,504,628,0,3165,720
2020-12-21,12603,4357,10320,172,573,30,10,525,618,0,3878,663
2020-12-15,11370,3946,8702,625,492,26,14,437,618,0,3134,606
2020-12-08,11750,4365,9354,493,544,11,19,316,643,0,3403,506
2020-12-01,11812,4509,9375,344,626,0,0,28,643,0,3334,461
2020-11-24,12336,5441,9864,408,668,0,0,0,643,0,3104,787
2020-11-17,11509,5305,8097,207,845,4,26,0,732,0,3110,697
2020-11-10,11311,5097,7881,130,832,7,33,0,732,0,2839,595
2020-11-03,11278,4379,8007,101,800,0,0,0,661,0,3405,425
2020-10-27,12665,5462,9010,275,770,0,0,0,285,0,3540,478
2020-10-20,10896,4558,7741,304,874,0,0,0,0,0,3072,369
2020-10-13,9353,3487,6314,307,702,0,0,0,0,0,2961,486
2020-10-06,7511,2153,4854,159,703,64,49,0,0,0,2696,491
2020-09-29,7324,2004,4730,292,525,28,49,0,0,0,2649,528
2020-09-22,8426,2280,4480,874,285,12,45,0,0,0,3006,597
2020-09-15,9383,2819,5224,388,717,12,70,0,0,0,3415,602
2020-09-08,8198,2758,4661,401,256,35,108,0,229,0,2724,514
2020-09-01,10617,4271,6842,287,745,182,82,0,540,0,2815,439
2020-08-25,11615,4839,6148,549,296,1,24,0,580,0,3197,1215
2020-08-18,14454,5760,8590,384,296,585,214,0,580,0,3885,535
2020-08-11,13090,6444,7785,373,206,495,156,0,580,0,3428,484
2020-08-04,12703,6312,7702,276,451,584,15,0,580,0,3514,436
2020-07-28,13068,5982,7942,174,646,684,20,0,580,2,3685,552
2020-07-21,9230,4122,6062,98,485,278,30,0,533,0,2277,577
2020-07-14,8322,3573,5460,71,444,255,30,0,533,0,1896,586
2020-07-07,8165,3262,5731,54,626,203,30,0,523,0,2060,575
2020-06-30,7675,3079,5332,74,362,80,30,0,493,0,1874,648
2020-06-23,9330,3847,6230,335,642,297,26,31,493,1,2308,511
2020-06-16,8784,3776,5710,176,406,294,15,31,495,0,2193,629
2020-06-09,9565,4203,6198,180,435,214,25,36,532,14,2473,562
2020-06-02,8824,3684,5752,139,423,214,0,36,394,80,2597,480
2020-05-26,8722,3880,4783,396,363,93,1,36,307,0,2286,636
2020-05-19,10878,5458,6815,593,342,193,10,41,342,0,2896,346
2020-05-12,9939,4923,6477,627,282,113,1,43,300,0,2645,345
2020-05-05,7784,3312,4269,557,316,0,1,48,160,0,2071,346
2020-04-28,6111,2024,3379,402,324,35,0,53,30,0,2011,417
2020-04-21,5648,2394,3026,261,218,316,0,38,0,0,1973,440
2020-04-14,5538,2260,3198,244,203,283,0,38,0,0,1903,397
2020-04-07,5448,2452,3652,272,221,204,0,36,0,0,1765,355
2020-03-31,3947,1489,2602,51,173,248,0,36,0,0,1259,554
2020-03-24,3909,1136,2291,76,125,297,0,36,0,0,1503,631
2020-03-17,4474,1869,2907,10,101,465,0,336,0,0,1481,495
2020-03-10,4368,1421,3002,181,115,362,0,65,41,0,1490,444
2020-03-03,4837,764,3454,208,163,196,0,66,159,0,1989,407
2020-02-25,5632,1774,4511,102,164,189,0,71,178,5,1593,427
2020-02-18,6463,2452,5258,130,260,177,0,78,158,0,1822,414
2020-02-11,6106,2237,4553,244,367,148,0,76,50,0,2112,432
2020-02-04,4367,1436,3136,96,132,434,0,71,50,0,1851,380
2020-01-28,4917,1747,2907,253,391,438,0,66,46,0,1967,434
2020-01-21,5139,2304,3035,302,185,445,0,66,46,0,1802,404
2020-01-14,5405,2688,3339,230,272,300,0,66,46,0,1774,414
2020-01-07,5400,2517,3661,238,338,331,0,66,42,0,1757,322
