report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2012-02-21,469456,229350,76723,7469,158467,44401,7909,26354,285575,3252,27033,19835
2012-02-14,447619,194912,89906,9253,144147,44821,7590,35249,246008,4402,33566,23989
2012-02-07,393195,175477,70806,6689,114087,45546,8149,42479,223512,3760,30167,20268
2012-01-31,387659,157487,67658,4163,130885,46240,8358,42825,222141,4110,28231,17951
2012-01-24,379665,146874,78521,3730,126700,46812,8926,35940,207528,3514,45530,13880
2012-01-17,333889,114545,62727,5427,124042,47267,8843,32733,173151,1999,39823,14553
2012-01-10,302165,89128,53329,3191,118172,47279,8689,36089,156033,1471,35434,13645
2012-01-03,267657,70122,39385,3897,99475,49257,8286,41013,132347,1186,34501,15338
2011-12-27,258870,62324,41041,6577,101596,47762,7493,40376,124372,1304,28924,13357
2011-12-20,258673,65132,43865,3351,101083,49848,6374,44215,124542,1528,27797,13787
2011-12-13,417233,102171,56857,17631,113207,52625,8203,99199,140933,41061,22538,85964
2011-12-06,326410,86694,51196,4029,104071,45428,6195,90686,128790,5061,23857,75320
2011-11-29,300091,78721,44096,6169,92235,47075,8449,88486,105711,2262,18642,76089
2011-11-22,324328,93479,56334,7158,95759,46169,8634,87971,117102,2418,22801,73420
2011-11-15,352278,111119,57565,6382,105365,45914,8123,83738,150648,3461,28125,69730
2011-11-08,351909,108777,59548,3956,110031,44887,7538,83695,148340,3150,28053,74112
2011-11-01,345238,101071,47165,4528,109380,59094,6797,85381,150633,3330,26040,63420
2011-10-25,341599,103610,59251,3511,112019,74885,7060,82329,130454,2923,22569,52573
2011-10-18,333020,84655,53018,6446,105900,76424,7355,91674,122037,3069,25417,51639
2011-10-11,305410,74883,53010,5523,93287,86698,7399,96236,89044,2362,18260,46597
2011-10-04,329452,81978,63241,10049,91931,106102,7411,107322,77610,2548,21514,47901
2011-09-27,321836,81659,68855,4019,96624,98318,7321,103910,85396,1561,20744,42680
2011-09-20,313850,78205,70124,3403,95813,108285,6277,91974,89169,1478,29616,22193
2011-09-13,482762,97640,98015,24978,99381,120218,10580,155580,144640,39490,47358,22844
2011-09-06,402108,91123,91343,12566,82538,89962,4952,148757,152539,9673,45210,21190
2011-08-30,382305,86281,97665,15141,66766,53912,7361,154284,158599,8533,36246,22273
2011-08-23,369961,89138,81956,16112,65316,63982,8290,137333,154102,8260,37393,19368
2011-08-16,360547,88798,86690,18582,68612,59490,7397,122205,143342,8098,36735,20383
2011-08-09,348584,125869,65115,18166,74658,54978,7349,79208,153978,8796,23166,23705
2011-08-02,367945,153384,102922,12487,70381,37845,8266,75055,159572,9271,26681,20019
2011-07-26,380700,164923,116411,11608,70078,30945,7557,79157,171719,7575,25465,16992
2011-07-19,372093,176430,114540,6781,65181,37096,7673,76751,172761,2461,24794,13007
2011-07-12,369974,163720,113382,11724,59747,35437,8230,77741,167827,2374,34138,14377
2011-07-05,303371,92854,94784,13038,59999,34827,7693,85009,114780,2930,28612,17746
2011-06-28,274887,65841,84538,9448,58261,40097,8127,93109,96686,2211,24530,17966
2011-06-21,275409,64049,77805,7778,65202,73514,6481,91099,95238,877,24194,1818
2011-06-14,412248,98846,84962,30800,65050,97152,6224,102261,115922,34861,48331,28383
2011-06-07,350623,105636,76156,19244,73930,79684,5629,90371,126067,5708,23749,23812
2011-05-31,358954,136311,84552,12213,69002,71787,6689,83207,151985,1767,27057,19926
2011-05-24,351551,127263,84314,8931,73334,71656,8671,83610,148548,1571,26640,18063
2011-05-17,373659,141337,99729,12448,80507,70959,8250,80970,155118,1706,27919,16641
2011-05-10,410490,187051,123281,10962,77070,53714,7402,76236,187971,2340,30036,14915
2011-05-03,423284,186980,131276,9913,81718,52414,8352,75294,188287,6869,31395,15834
2011-04-26,373657,143571,102750,10762,79380,56796,8086,76505,163651,7525,26795,18588
2011-04-19,321871,104386,80015,7797,68295,52464,9455,79195,140891,7196,25681,18428
2011-04-12,344158,129116,103251,11261,73709,48348,9620,70920,146137,5854,28453,13324
2011-04-05,368114,152102,109107,7695,79544,45741,9523,70544,169249,5744,29711,13417
2011-03-29,321744,115917,77618,8780,69205,49004,10876,77505,146669,3237,25966,16254
2011-03-22,280223,73074,56181,9765,68703,45806,8683,80772,128153,2850,23043,19447
