report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2010-03-09,2971944,647699,914721,61950,1261662,474137,244130,306712,654655,212286,204103,307058
2010-03-02,2870663,646733,900379,55482,1304556,467428,215435,263693,640682,143776,196147,341124
2010-02-23,2847974,635382,879081,42047,1345362,518855,204068,275514,640898,138784,165976,329874
2010-02-16,2827987,619732,854263,32786,1316168,521255,205256,299317,690557,126906,194229,310591
2010-02-09,2835286,619460,833615,28518,1303761,546318,199290,282481,653154,119448,248719,367570
2010-02-02,2710912,495743,821825,53019,1322195,548691,181148,249011,598950,107205,265977,308748
2010-01-26,2633024,451126,810464,49216,1405188,561710,165847,207875,596924,102440,212981,268858
2010-01-19,2479545,352724,666643,35809,1373671,383362,192549,202041,752799,98320,189981,271179
2010-01-12,2445201,319400,648943,31241,1381770,387588,196313,188258,748699,94069,199512,268849
2010-01-05,2406829,320325,568103,40265,1367886,369248,188853,183897,848139,88504,192185,238375
2009-12-29,2400627,304353,604996,25559,1421189,364167,156384,193709,875168,82718,183815,236639
2009-12-22,2375469,309335,585251,19432,1395062,389670,150232,197415,861206,76232,189058,240628
2009-12-15,3378983,518215,613630,135920,1408808,363781,177679,224773,868559,629093,243270,524720
2009-12-08,2770435,450640,609382,84575,1402362,360512,156633,212744,799899,215603,209779,485605
2009-12-01,2657480,441092,563597,82471,1419685,361268,153031,202160,893887,154560,171550,385635
2009-11-24,2639563,443713,582854,67048,1379833,345404,155896,239496,892929,148809,169206,382983
2009-11-17,2606977,417460,600693,65695,1386589,338049,154114,183446,870646,146881,218427,369000
2009-11-09,2560834,403393,622363,56480,1401079,380407,137319,227186,800126,129645,171630,370693
2009-11-03,2531749,420203,601999,64867,1369320,518234,139417,219052,693727,113880,170803,342201
