report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2021-07-27,678008,53235,86419,8773,401410,113184,28706,44381,375205,3660,92486,50763
2021-07-20,683075,54722,88458,6329,413093,108926,26942,43547,386877,3632,89034,52455
2021-07-13,688952,59722,81863,6350,426597,96349,26589,25282,413540,4572,91837,50179
2021-07-06,699383,52702,68652,8020,445331,94060,25693,24503,441656,3309,94301,47333
2021-06-29,697425,51345,64095,7503,450042,86760,24723,21157,455454,3702,94487,45031
2021-06-22,694804,52382,68507,7450,448787,84289,23896,19485,457928,3634,96568,41046
2021-06-15,694722,49079,51822,4401,454721,68198,22730,16470,501518,2326,99890,35985
2021-06-08,743159,63558,70560,8911,453297,66384,23191,23841,517905,9922,113822,38556
2021-06-01,742079,69560,69723,9406,452078,67875,24889,27372,521623,2398,112057,37865
2021-05-25,738138,70981,73484,8947,445783,67407,25169,27676,516244,2319,111477,35611
2021-05-18,727631,70419,73738,7586,440386,66190,25090,27823,507106,2383,109261,36215
2021-05-11,697211,72130,69703,7400,406686,67350,29441,28318,476767,2189,106123,35125
2021-05-04,677397,59981,63801,7439,398683,65948,28362,37028,460132,2517,96919,39590
2021-04-27,672072,63322,63360,5408,396062,66117,28086,37516,457177,2339,95959,41093
2021-04-20,661640,61556,61540,5897,393760,63317,28729,33403,449085,2220,91482,43058
2021-04-13,648681,55274,65489,6763,393478,72885,26157,33974,421920,2382,88707,45924
2021-04-06,642671,53206,65295,5702,390933,76823,24955,34432,414427,1572,89693,47474
2021-03-30,645121,57133,63913,6748,385040,79882,25837,34931,416782,1546,91621,44032
2021-03-23,641428,51452,58114,6245,398839,69324,25196,27253,431005,1380,88274,43563
2021-03-16,638977,48912,60735,5193,404576,66921,23130,26711,430548,1918,87260,42257
2021-03-09,722123,64247,64173,15963,394927,70728,22773,33499,444345,53469,96525,41047
