report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2014-06-24,3357809,416739,993893,462676,1356893,403566,200473,257349,744547,38070,328871,257342
2014-06-17,4230811,615136,1062601,718139,1297753,375583,263192,312602,905569,254122,442882,287799
2014-06-10,3896251,573773,1015263,630805,1334593,365034,203871,278095,908622,100191,447727,315388
2014-06-03,3645328,556727,957251,520340,1344829,381402,197687,243676,903054,66791,407198,292190
2014-05-27,3544148,536842,927489,473616,1301153,383046,238117,234874,869897,61184,391400,291077
2014-05-20,3405069,511485,945191,421145,1271986,386306,248619,241280,821831,47863,378307,257996
2014-05-13,3495908,535299,913174,503693,1297024,380017,239888,223666,840230,49820,357205,273836
2014-05-06,3341011,513449,889201,451245,1282937,391728,230015,229297,802037,43295,312009,256141
2014-04-29,3358673,532130,857617,451458,1265498,378667,230644,221746,873128,48097,324142,246188
2014-04-22,3275905,516254,851671,436064,1275235,384781,207665,212464,834359,40919,314823,256249
2014-04-15,3403849,495231,863917,534788,1296802,411116,204814,215302,831490,49007,316129,249490
2014-04-08,3299954,465551,856230,479813,1322087,391149,195148,207704,858488,43717,302195,235931
2014-04-01,3280915,484626,852629,452096,1341120,368998,187057,221927,838097,27279,296282,257043
2014-03-25,3291759,457370,875345,457786,1351943,376620,193467,221351,817806,28427,282709,245812
2014-03-18,4552015,631851,1021958,722992,1302859,458814,304816,294109,966961,366942,586666,288757
2014-03-11,4023639,555271,1019916,627408,1277440,438075,205864,286478,908236,170969,603777,284345
2014-03-04,3926887,608521,1036958,590279,1261492,451163,198648,301919,917727,109028,573619,280061
2014-02-25,3715035,575203,989138,507837,1238553,456183,202987,269609,913115,73582,568979,260905
2014-02-18,3796178,584430,1024921,574355,1289425,427291,201809,261370,891402,79209,539120,278849
2014-02-11,3693832,562079,1001312,545631,1286377,435901,201571,243515,856883,74149,487243,255858
2014-02-04,3668221,585198,916846,606071,1227848,490702,213327,229919,856095,62628,426336,227286
2014-01-28,3438046,564783,889034,471799,1263655,436654,207477,229054,862233,62620,352808,217746
2014-01-21,3278346,523846,883340,374153,1342514,401819,177365,245616,885959,57295,268403,223071
2014-01-14,3404246,554148,840427,479782,1351343,394368,170632,235695,876571,64840,262915,247655
2014-01-07,3293045,523998,775445,461847,1316157,388471,168915,218133,859759,60567,265925,259242
2013-12-31,3283618,535437,796689,454811,1310703,388066,168198,227004,811566,51862,261012,279952
2013-12-24,3264931,514143,792659,459286,1303345,406896,165645,231174,838623,49662,263888,247130
2013-12-17,4108187,661011,700824,824010,1232282,476157,264559,177852,852255,343305,307760,232756
2013-12-10,3682185,646521,766691,707327,1225812,431998,203793,192074,812220,98609,341209,279583
2013-12-03,3624850,668576,759918,670612,1200329,434104,199407,180490,758116,131229,297640,261331
2013-11-26,3562020,655827,768795,632706,1230905,441792,190020,167415,777442,111147,298822,265353
2013-11-19,3518957,648093,777182,581129,1237668,440927,190981,170634,781513,99628,323443,272469
2013-11-12,3553193,660743,775710,646227,1236632,431348,196064,152030,758260,103412,299334,281850
2013-11-05,3515951,666557,790844,596658,1240382,441801,202090,143967,792806,95495,318749,267454
2013-10-29,3509585,628353,772895,607242,1265987,444350,202928,138391,782988,90896,315800,278692
2013-10-22,3396060,624441,760047,542339,1219940,476160,201304,164022,781533,80276,312876,272770
2013-10-15,3397242,542730,726444,615842,1169984,483762,211621,150330,781905,76422,366492,232334
2013-10-08,3425546,501185,720026,628321,1176842,491707,219689,159956,809046,72064,384534,229493
2013-10-01,3182615,477222,718510,496890,1182368,456979,237323,143249,754264,55518,326100,228413
2013-09-24,3177367,452704,732857,492008,1228111,470526,217187,131306,750688,53325,340016,228467
2013-09-17,4073335,589727,866539,760681,1272420,483055,220027,115731,814720,293387,552680,315341
2013-09-10,3675044,548385,868416,597446,1249834,483842,219393,115804,741730,173465,521887,302850
2013-09-03,3607884,537995,841251,589473,1244699,540255,212671,116413,762469,122483,507037,271302
2013-08-27,3639993,526239,832958,593676,1271695,563998,226328,117865,780303,106435,457432,267156
2013-08-20,3488421,507111,796355,530907,1303751,554881,220428,115183,788991,95383,400174,251520
2013-08-13,3496308,522996,831439,555824,1347849,523977,200467,103718,759620,87967,365478,260711
2013-08-06,3449027,522464,823178,521627,1368845,511946,197199,104744,780055,88759,330210,264002
2013-07-30,3419241,557994,825440,482043,1377543,514942,184237,103397,806769,85942,328880,268428
2013-07-23,3372109,538090,837393,462948,1367801,518049,180051,97123,777636,77179,345094,258717
2013-07-16,3475693,544034,814616,565861,1331100,544705,180329,99152,752718,81878,367119,262849
2013-07-09,3361015,516795,773976,530146,1311727,565235,182770,105717,700237,78231,374317,262699
2013-07-02,3306319,513144,733485,513069,1270527,597962,197932,114864,672076,79197,353294,250385
2013-06-25,3346078,473697,714533,497631,1323030,652891,204434,107040,687153,71214,376259,252421
2013-06-18,4619293,561941,1000883,851765,1514036,537447,237384,212133,879454,417276,454702,376818
2013-06-11,4201236,560680,941135,750051,1505251,565171,246167,221601,852631,195730,369780,371433
2013-06-04,4068714,597219,989630,701373,1525659,519047,234366,234316,861426,148538,289898,350512
2013-05-28,4144911,602933,1032535,694702,1561853,487520,218004,254410,1031406,148416,315573,268267
